Title,Price,Location,Price_cleaned,Rooms,Area,Area_from_title,District
"Продается Квартира ЖК Шахриобод 60кв,м",92 000 у.е.,"Ташкент, Мирзо-Улугбекский район - Сегодня в 07:29",92000.0,,60.0,60.0,Boshqa
"Скидка 20%, 1 комн.-29,47 кв.м., Мирабадский , Ипотека, 7млн\мес  (XS)",47 700 у.е.,"Ташкент, Мирабадский район - Сегодня в 07:28",47700.0,,29.47,29.47,Boshqa
Квартира  Ц-5 Финансовый институт 4/5/6 212 кв.м,315 000 у.е.,"Ташкент, Юнусабадский район - Сегодня в 07:28",315000.0,,212.0,212.0,Boshqa
Парк Ашхабад 144м2 4/5/9 Новый ремонт,330 000 у.е.,"Ташкент, Яшнабадский район - Сегодня в 07:28",330000.0,,144.0,144.0,Boshqa
Тузел 2  возле Карзинка 4комеатная 2етаж не торец +мебел техники 90квм,87 000 у.е.Договорная,"Ташкент, Яшнабадский район - Сегодня в 07:28",87000.0,,90.0,90.0,Boshqa
Квартира РОВД Ул. Бабура 3/6/6 73 кв.м,124 000 у.е.,"Ташкент, Яккасарайский район - Сегодня в 07:28",124000.0,,73.0,73.0,Boshqa
"СРОЧНО ПРОДАЁТСЯ 4/6/10 квартира в Новостройке 
Ориентир 8 роддом 
Ул.",195 000 у.е.Договорная,"Ташкент, Яккасарайский район - Сегодня в 07:28",195000.0,,10.0,10.0,Boshqa
"3в4-комнатная 74 м², Мирабадский район, метро Ойбек, Angel’s Food",158 000 у.е.Договорная,"Ташкент, Мирабадский район - Сегодня в 04:32",158000.0,,74.0,74.0,Boshqa
Продажа Ттз-1 210-Школа 2_3_4  Балкон1.5Х6 51м2 Цена:56.500у.е Чистая,56 500 у.е.Договорная,"Ташкент, Мирзо-Улугбекский район - 05 февраля 2026 г.",56500.0,,51.0,51.0,Boshqa
Малика 3/9-10/10 93+93м2 С ремонтом,229 000 у.е.,"Ташкент, Юнусабадский район - Сегодня в 07:27",229000.0,,93.0,93.0,Boshqa
"4/4/16  Паркентский новостройка 90 кв.,",135 000 у.е.,"Ташкент, Яшнабадский район - Сегодня в 07:26",135000.0,,90.0,90.0,Boshqa
Продается  Чилонзор23 кв 1/8/8 мансардный потолок (Гулшен id 111830),55 000 у.е.,"Ташкент, Учтепинский район - Сегодня в 07:26",55000.0,,23.0,23.0,Boshqa
Ц-6 Новостройка ЖК Казахстан 3х-комн 90квм,200 000 у.е.,"Ташкент, Юнусабадский район - Сегодня в 07:26",200000.0,,90.0,90.0,Boshqa
Жилой Комплекс Парквуд 4х-комнатная квартира 147квм,500 000 у.е.,"Ташкент, Мирабадский район - Сегодня в 07:26",500000.0,,147.0,147.0,Boshqa
2-комнатная с ремонтом в ЖК Tower Up — 990 $/м² | 55 м²,54 450 у.е.,"Ташкент, Сергелийский район - 04 февраля 2026 г.",54450.0,,55.0,55.0,Boshqa
Ойбек метро Angels Food 4/5/9 (100м2) Улучшенка СРОЧНО!,155 000 у.е.,"Ташкент, Мирабадский район - Сегодня в 07:25",155000.0,,100.0,100.0,Boshqa
ЖК Oz Mahal 2-комн 50м2‼️Ул. Новомосковская-Аккурган,125 000 у.е.Договорная,"Ташкент, Мирабадский район - Сегодня в 07:25",125000.0,,50.0,50.0,Boshqa
ЖК Oq Saroy 3-х комнатная 60м2 ‼️Ул. Паркентская Макро,139 000 у.е.Договорная,"Ташкент, Мирзо-Улугбекский район - Сегодня в 07:25",139000.0,,60.0,60.0,Boshqa
"Ориентир Саёхат, 2-комнатная, 60 м²",78 000 у.е.,"Ташкент, Мирабадский район - Сегодня в 07:25",78000.0,,60.0,60.0,Boshqa
"3-комнатная, 72 м², Карасу-3",77 000 у.е.,"Ташкент, Мирзо-Улугбекский район - Сегодня в 07:25",77000.0,,72.0,72.0,Boshqa
Ойбек 4 этаж 95 кв,152 352 у.е.Договорная,"Ташкент, Мирабадский район - 05 февраля 2026 г.",152352.0,,95.0,95.0,Boshqa
Можно под офис 6/1/9 Буюк Ипак Йули 155м2,250 000 у.е.,"Ташкент, Мирзо-Улугбекский район - Сегодня в 07:25",250000.0,,155.0,155.0,Boshqa
Жарарык Карзинка Срочно 5/9/9. 112квадратов раздельная,89 900 у.е.,"Ташкент, Шайхантахурский район - Сегодня в 07:24",89900.0,,112.0,112.0,Boshqa
Бобура 110м2 4/8/9 Срочно Ор-р РОВД,130 000 у.е.,"Ташкент, Яккасарайский район - Сегодня в 07:24",130000.0,,110.0,110.0,Boshqa
Ойбек 80м2 3/3/4 Кирпичный Ор-р Ипак Йули Банк,140 000 у.е.,"Toshkent, Mirobod tumani - Bugunda 07:23",140000.0,,80.0,80.0,Mirobod
"2-комнатная у метро Горького — ремонт, 2 санузла, парковка 64 кв.м",67 700 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:23",67700.0,,64.0,64.0,Mirzo-Ulug‘bek
1 ком квартиру. 1/4 кирпич. Ремонт огород. Галерея.СЕРГЕЛИ 2.  33 М2,40 800 у.е.Kelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 07:23",40800.0,,33.0,33.0,Boshqa
Chilonzor 19 kv 2³/1/4,61 000 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - Bugunda 07:23",61000.0,,19.0,19.0,Chilonzor
3/3/5 2х6 кирпич Массив Феруза 67м2,90 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:23",90000.0,,67.0,67.0,Mirzo-Ulug‘bek
"жк Zarafshan City, НОВОСТРОЙКА  3/5/14  96м²",137 500 у.е.,"Toshkent, Yakkasaroy tumani - Bugunda 07:23",137500.0,,96.0,96.0,Yakkasaroy
ЖК City Tower Group 1/12/16 42м2,79 000 у.е.,"Toshkent, Mirobod tumani - Bugunda 07:22",79000.0,,42.0,42.0,Mirobod
Продается квартира чилонзор 17 кв,65 000 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - Bugunda 07:21",65000.0,,17.0,17.0,Chilonzor
Срочная продажа ЖК Парисиен 2/5/8 евроремонт 54м2 / с арендатором,139 000 у.е.,"Toshkent, Yakkasaroy tumani - 04/02/2026",139000.0,,54.0,54.0,Yakkasaroy
1/4/5 2х6 Массив Феруза 40м2,50 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:21",50000.0,,40.0,40.0,Mirzo-Ulug‘bek
"Мирзо-Улугбекский р-н, Карасу-1, 2/3/4, 60 кв.м, ЗАФАР (ID-101739)",85 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:21",85000.0,,60.0,60.0,Mirzo-Ulug‘bek
